game,round,iteration,depth,current_player,terr_attacked_in_round (actions taken)
1,4,5,4,Chinese,1
1,4,5,4,Russians,1
1,4,5,4,Italians,2
1,4,6,0,Germans,1
1,4,6,0,Chinese,2
1,4,6,0,Russians,0
1,4,6,0,Italians,1
1,4,6,1,Germans,3
1,4,6,1,Chinese,2
1,4,6,1,Russians,1
1,4,6,1,Italians,2
1,4,6,2,Germans,2
1,4,6,2,Chinese,0
1,4,6,2,Russians,2
1,4,6,2,Italians,2
1,4,6,3,Germans,2
1,4,6,3,Chinese,2
1,4,6,3,Russians,2
1,4,6,3,Italians,1
1,4,6,4,Germans,1
1,4,6,4,Chinese,1
1,4,6,4,Russians,2
1,4,6,4,Italians,3
1,4,7,0,Germans,1
1,4,7,0,Chinese,1
1,4,7,0,Russians,0
1,4,7,0,Italians,2
1,4,7,1,Germans,1
1,4,7,1,Chinese,2
1,4,7,1,Russians,1
1,4,7,1,Italians,2
1,4,7,2,Germans,2
1,4,7,2,Chinese,1
1,4,7,2,Russians,2
1,4,7,2,Italians,2
1,4,7,3,Germans,2
1,4,7,3,Chinese,1
1,4,7,3,Russians,2
1,4,7,3,Italians,2
1,4,7,4,Germans,1
1,4,7,4,Chinese,1
1,4,7,4,Russians,0
1,4,7,4,Italians,3
1,4,8,0,Germans,1
1,4,8,0,Chinese,2
1,4,8,0,Russians,0
1,4,8,0,Italians,2
1,4,8,1,Germans,2
1,4,8,1,Chinese,2
1,4,8,1,Russians,1
1,4,8,1,Italians,2
1,4,8,2,Germans,2
1,4,8,2,Chinese,1
1,4,8,2,Russians,1
1,4,8,2,Italians,2
1,4,8,3,Germans,2
1,4,8,3,Chinese,3
1,4,8,3,Russians,2
1,4,8,3,Italians,2
1,4,8,4,Germans,1
1,4,8,4,Chinese,1
1,4,8,4,Russians,2
1,4,8,4,Italians,2
1,4,9,0,Germans,1
1,4,9,0,Chinese,1
1,4,9,0,Russians,0
1,4,9,0,Italians,1
1,4,9,1,Germans,2
1,4,9,1,Chinese,2
1,4,9,1,Russians,1
1,4,9,1,Italians,2
1,4,9,2,Germans,2
1,4,9,2,Chinese,1
1,4,9,2,Russians,1
1,4,9,2,Italians,2
1,4,9,3,Germans,3
1,4,9,3,Chinese,1
1,4,9,3,Russians,2
1,4,9,3,Italians,1
1,4,9,4,Germans,1
1,4,9,4,Chinese,0
1,4,9,4,Russians,2
1,4,9,4,Italians,2
1,4,10,0,Germans,1
1,4,10,0,Chinese,2
1,4,10,0,Russians,0
1,4,10,0,Italians,1
1,4,10,1,Germans,3
1,4,10,1,Chinese,2
1,4,10,1,Russians,1
1,4,10,1,Italians,2
1,4,10,2,Germans,2
1,4,10,2,Chinese,1
1,4,10,2,Russians,2
1,4,10,2,Italians,1
1,4,10,3,Germans,3
1,4,10,3,Chinese,1
1,4,10,3,Russians,2
1,4,10,3,Italians,0
1,4,10,4,Germans,1
1,4,10,4,Chinese,1
1,4,10,4,Russians,2
1,4,10,4,Italians,2
1,4,11,0,Germans,1
1,4,11,0,Chinese,1
1,4,11,0,Russians,0
1,4,11,0,Italians,2
1,4,11,1,Germans,2
1,4,11,1,Chinese,2
1,4,11,1,Russians,1
1,4,11,1,Italians,2
1,4,11,2,Germans,2
1,4,11,2,Chinese,2
1,4,11,2,Russians,2
1,4,11,2,Italians,1
1,4,11,3,Germans,2
1,4,11,3,Chinese,1
1,4,11,3,Russians,1
1,4,11,3,Italians,2
1,4,11,4,Germans,2
1,4,11,4,Chinese,2
1,4,11,4,Russians,1
1,4,11,4,Italians,2
1,4,12,0,Germans,1
1,4,12,0,Chinese,1
1,4,12,0,Russians,0
1,4,12,0,Italians,2
1,4,12,1,Germans,2
1,4,12,1,Chinese,2
1,4,12,1,Russians,1
1,4,12,1,Italians,2
1,4,12,2,Germans,2
1,4,12,2,Chinese,2
1,4,12,2,Russians,2
1,4,12,2,Italians,1
1,4,12,3,Germans,1
1,4,12,3,Chinese,2
1,4,12,3,Russians,1
1,4,12,3,Italians,2
1,4,12,4,Germans,1
1,4,12,4,Chinese,2
1,4,12,4,Russians,2
1,4,12,4,Italians,3
1,5,1,0,Germans,2
1,5,1,0,Chinese,1
1,5,1,0,Russians,1
1,5,1,0,Italians,1
1,5,1,1,Germans,3
1,5,1,1,Chinese,2
1,5,1,1,Russians,2
1,5,1,1,Italians,2
1,5,1,2,Germans,1
1,5,1,2,Chinese,3
1,5,1,2,Russians,1
1,5,1,2,Italians,0
1,5,1,3,Germans,2
1,5,1,3,Chinese,1
1,5,1,3,Russians,2
1,5,1,3,Italians,1
1,5,1,4,Germans,1
1,5,1,4,Chinese,2
1,5,1,4,Russians,2
1,5,1,4,Italians,1
1,5,2,0,Germans,2
1,5,2,0,Chinese,1
1,5,2,0,Russians,1
1,5,2,0,Italians,1
1,5,2,1,Germans,3
1,5,2,1,Chinese,2
1,5,2,1,Russians,2
1,5,2,1,Italians,1
1,5,2,2,Germans,2
1,5,2,2,Chinese,2
1,5,2,2,Russians,2
1,5,2,2,Italians,1
1,5,2,3,Germans,2
1,5,2,3,Chinese,2
1,5,2,3,Russians,1
1,5,2,3,Italians,2
1,5,2,4,Germans,1
1,5,2,4,Chinese,2
1,5,2,4,Russians,1
1,5,2,4,Italians,2
1,5,3,0,Germans,1
1,5,3,0,Chinese,1
1,5,3,0,Russians,1
1,5,3,0,Italians,2
1,5,3,1,Germans,2
1,5,3,1,Chinese,2
1,5,3,1,Russians,1
1,5,3,1,Italians,2
1,5,3,2,Germans,2
1,5,3,2,Chinese,2
1,5,3,2,Russians,2
1,5,3,2,Italians,1
1,5,3,3,Germans,2
1,5,3,3,Chinese,3
1,5,3,3,Russians,1
1,5,3,3,Italians,1
1,5,3,4,Germans,1
1,5,3,4,Chinese,3
1,5,3,4,Russians,2
1,5,3,4,Italians,2
1,5,4,0,Germans,1
1,5,4,0,Chinese,1
1,5,4,0,Russians,1
1,5,4,0,Italians,2
1,5,4,1,Germans,2
1,5,4,1,Chinese,2
1,5,4,1,Russians,2
1,5,4,1,Italians,2
1,5,4,2,Germans,3
1,5,4,2,Chinese,3
1,5,4,2,Russians,1
1,5,4,2,Italians,1
1,5,4,3,Germans,1
1,5,4,3,Chinese,2
1,5,4,3,Russians,2
1,5,4,3,Italians,2
1,5,4,4,Germans,0
1,5,4,4,Chinese,3
1,5,4,4,Russians,1
1,5,4,4,Italians,3
1,5,5,0,Germans,1
1,5,5,0,Chinese,1
1,5,5,0,Russians,1
1,5,5,0,Italians,1
1,5,5,1,Germans,3
1,5,5,1,Chinese,2
1,5,5,1,Russians,2
1,5,5,1,Italians,2
1,5,5,2,Germans,2
1,5,5,2,Chinese,2
1,5,5,2,Russians,2
1,5,5,2,Italians,1
1,5,5,3,Germans,2
1,5,5,3,Chinese,2
1,5,5,3,Russians,1
1,5,5,3,Italians,2
1,5,5,4,Germans,1
1,5,5,4,Chinese,2
1,5,5,4,Russians,2
1,5,5,4,Italians,3
1,5,6,0,Germans,1
1,5,6,0,Chinese,1
1,5,6,0,Russians,1
1,5,6,0,Italians,1
1,5,6,1,Germans,3
1,5,6,1,Chinese,2
1,5,6,1,Russians,2
1,5,6,1,Italians,2
1,5,6,2,Germans,3
1,5,6,2,Chinese,1
1,5,6,2,Russians,2
1,5,6,2,Italians,0
1,5,6,3,Germans,2
1,5,6,3,Chinese,2
1,5,6,3,Russians,1
1,5,6,3,Italians,2
1,5,6,4,Germans,1
1,5,6,4,Chinese,1
1,5,6,4,Russians,1
1,5,6,4,Italians,3
1,5,7,0,Germans,1
1,5,7,0,Chinese,1
1,5,7,0,Russians,1
1,5,7,0,Italians,1
1,5,7,1,Germans,3
1,5,7,1,Chinese,2
1,5,7,1,Russians,2
1,5,7,1,Italians,2
1,5,7,2,Germans,2
1,5,7,2,Chinese,2
1,5,7,2,Russians,2
1,5,7,2,Italians,0
1,5,7,3,Germans,2
1,5,7,3,Chinese,3
1,5,7,3,Russians,2
1,5,7,3,Italians,2
1,5,7,4,Germans,1
1,5,7,4,Chinese,2
1,5,7,4,Russians,2
1,5,7,4,Italians,1
1,5,8,0,Germans,1
1,5,8,0,Chinese,1
1,5,8,0,Russians,1
1,5,8,0,Italians,2
1,5,8,1,Germans,2
1,5,8,1,Chinese,2
1,5,8,1,Russians,1
1,5,8,1,Italians,2
1,5,8,2,Germans,3
1,5,8,2,Chinese,1
1,5,8,2,Russians,2
1,5,8,2,Italians,2
1,5,8,3,Germans,3
1,5,8,3,Chinese,3
1,5,8,3,Russians,1
1,5,8,3,Italians,1
1,5,8,4,Germans,2
1,5,8,4,Chinese,1
1,5,8,4,Russians,2
1,5,8,4,Italians,1
1,5,9,0,Germans,1
1,5,9,0,Chinese,1
1,5,9,0,Russians,1
1,5,9,0,Italians,1
1,5,9,1,Germans,3
1,5,9,1,Chinese,2
1,5,9,1,Russians,1
1,5,9,1,Italians,2
1,5,9,2,Germans,3
1,5,9,2,Chinese,2
1,5,9,2,Russians,2
1,5,9,2,Italians,1
1,5,9,3,Germans,3
1,5,9,3,Chinese,2
1,5,9,3,Russians,2
1,5,9,3,Italians,2
1,5,9,4,Germans,1
1,5,9,4,Chinese,1
1,5,9,4,Russians,2
1,5,9,4,Italians,2
1,5,10,0,Germans,1
1,5,10,0,Chinese,1
1,5,10,0,Russians,1
1,5,10,0,Italians,2
1,5,10,1,Germans,2
1,5,10,1,Chinese,2
1,5,10,1,Russians,2
1,5,10,1,Italians,2
1,5,10,2,Germans,2
1,5,10,2,Chinese,2
1,5,10,2,Russians,2
1,5,10,2,Italians,1
1,5,10,3,Germans,2
1,5,10,3,Chinese,3
1,5,10,3,Russians,2
1,5,10,3,Italians,1
1,5,10,4,Germans,0
1,5,10,4,Chinese,2
1,5,10,4,Russians,2
1,5,10,4,Italians,1
1,5,11,0,Germans,1
1,5,11,0,Chinese,1
1,5,11,0,Russians,1
1,5,11,0,Italians,2
1,5,11,1,Germans,2
1,5,11,1,Chinese,2
1,5,11,1,Russians,1
1,5,11,1,Italians,2
1,5,11,2,Germans,1
1,5,11,2,Chinese,2
1,5,11,2,Russians,2
1,5,11,2,Italians,0
1,5,11,3,Germans,2
1,5,11,3,Chinese,2
1,5,11,3,Russians,1
1,5,11,3,Italians,2
1,5,11,4,Germans,2
1,5,11,4,Chinese,1
1,5,11,4,Russians,2
1,5,11,4,Italians,2
1,6,1,0,Germans,2
1,6,1,0,Chinese,2
1,6,1,0,Russians,1
1,6,1,0,Italians,2
1,6,1,1,Germans,1
1,6,1,1,Chinese,2
1,6,1,1,Russians,1
1,6,1,1,Italians,2
1,6,1,2,Germans,3
1,6,1,2,Chinese,1
1,6,1,2,Russians,1
1,6,1,2,Italians,2
1,6,1,3,Germans,2
1,6,1,3,Chinese,2
1,6,1,3,Russians,1
1,6,1,3,Italians,1
1,6,1,4,Germans,2
1,6,1,4,Chinese,1
1,6,1,4,Russians,2
1,6,1,4,Italians,1
1,6,2,0,Germans,2
1,6,2,0,Chinese,2
1,6,2,0,Russians,1
1,6,2,0,Italians,2
1,6,2,1,Germans,1
1,6,2,1,Chinese,2
1,6,2,1,Russians,1
1,6,2,1,Italians,2
1,6,2,2,Germans,2
1,6,2,2,Chinese,1
1,6,2,2,Russians,1
1,6,2,2,Italians,1
1,6,2,3,Germans,3
1,6,2,3,Chinese,1
1,6,2,3,Russians,1
1,6,2,3,Italians,2
1,6,2,4,Germans,3
1,6,2,4,Chinese,1
1,6,2,4,Russians,2
1,6,2,4,Italians,2
1,6,3,0,Germans,2
1,6,3,0,Chinese,2
1,6,3,0,Russians,1
1,6,3,0,Italians,2
1,6,3,1,Germans,1
1,6,3,1,Chinese,2
1,6,3,1,Russians,1
1,6,3,1,Italians,3
1,6,3,2,Germans,2
1,6,3,2,Chinese,2
1,6,3,2,Russians,1
1,6,3,2,Italians,1
1,6,3,3,Germans,2
1,6,3,3,Chinese,1
1,6,3,3,Russians,1
1,6,3,3,Italians,3
1,6,3,4,Germans,1
1,6,3,4,Chinese,2
1,6,3,4,Russians,2
1,6,3,4,Italians,2
1,6,4,0,Germans,1
1,6,4,0,Chinese,1
1,6,4,0,Russians,1
1,6,4,0,Italians,2
1,6,4,1,Germans,2
1,6,4,1,Chinese,1
1,6,4,1,Russians,1
1,6,4,1,Italians,2
1,6,4,2,Germans,3
1,6,4,2,Chinese,1
1,6,4,2,Russians,1
1,6,4,2,Italians,1
1,6,4,3,Germans,2
1,6,4,3,Chinese,1
1,6,4,3,Russians,1
1,6,4,3,Italians,2
1,6,4,4,Germans,1
1,6,4,4,Chinese,0
1,6,4,4,Russians,2
1,6,4,4,Italians,2
1,6,5,0,Germans,1
1,6,5,0,Chinese,1
1,6,5,0,Russians,1
1,6,5,0,Italians,2
1,6,5,1,Germans,3
1,6,5,1,Chinese,2
1,6,5,1,Russians,1
1,6,5,1,Italians,2
1,6,5,2,Germans,3
1,6,5,2,Chinese,1
1,6,5,2,Russians,1
1,6,5,2,Italians,1
1,6,5,3,Germans,1
1,6,5,3,Chinese,1
1,6,5,3,Russians,1
1,6,5,3,Italians,2
1,6,5,4,Germans,2
1,6,5,4,Chinese,1
1,6,5,4,Russians,1
1,6,5,4,Italians,3
1,6,6,0,Germans,1
1,6,6,0,Chinese,1
1,6,6,0,Russians,1
1,6,6,0,Italians,2
1,6,6,1,Germans,3
1,6,6,1,Chinese,2
1,6,6,1,Russians,1
1,6,6,1,Italians,2
1,6,6,2,Germans,2
1,6,6,2,Chinese,0
1,6,6,2,Russians,1
1,6,6,2,Italians,2
1,6,6,3,Germans,3
1,6,6,3,Chinese,2
1,6,6,3,Russians,1
1,6,6,3,Italians,2
1,6,6,4,Germans,2
1,6,6,4,Chinese,1
1,6,6,4,Russians,1
1,6,6,4,Italians,4
1,6,7,0,Germans,1
1,6,7,0,Chinese,1
1,6,7,0,Russians,1
1,6,7,0,Italians,2
1,6,7,1,Germans,2
1,6,7,1,Chinese,1
1,6,7,1,Russians,1
1,6,7,1,Italians,3
1,6,7,2,Germans,3
1,6,7,2,Chinese,1
1,6,7,2,Russians,1
1,6,7,2,Italians,1
1,6,7,3,Germans,2
1,6,7,3,Chinese,1
1,6,7,3,Russians,2
1,6,7,3,Italians,1
1,6,7,4,Germans,1
1,6,7,4,Chinese,2
1,6,7,4,Russians,2
1,6,7,4,Italians,2
1,6,8,0,Germans,1
1,6,8,0,Chinese,1
1,6,8,0,Russians,1
1,6,8,0,Italians,2
1,6,8,1,Germans,2
1,6,8,1,Chinese,2
1,6,8,1,Russians,1
1,6,8,1,Italians,3
1,6,8,2,Germans,2
1,6,8,2,Chinese,1
1,6,8,2,Russians,1
1,6,8,2,Italians,0
1,6,8,3,Germans,2
1,6,8,3,Chinese,2
1,6,8,3,Russians,1
1,6,8,3,Italians,2
1,6,8,4,Germans,1
1,6,8,4,Chinese,0
1,6,8,4,Russians,2
1,6,8,4,Italians,2
1,6,9,0,Germans,1
1,6,9,0,Chinese,1
1,6,9,0,Russians,1
1,6,9,0,Italians,2
1,6,9,1,Germans,2
1,6,9,1,Chinese,2
1,6,9,1,Russians,1
1,6,9,1,Italians,3
1,6,9,2,Germans,2
1,6,9,2,Chinese,1
1,6,9,2,Russians,1
1,6,9,2,Italians,3
1,6,9,3,Germans,2
1,6,9,3,Chinese,1
1,6,9,3,Russians,1
1,6,9,3,Italians,1
1,6,9,4,Germans,2
1,6,9,4,Chinese,1
1,6,9,4,Russians,2
1,6,9,4,Italians,2
1,6,10,0,Germans,1
1,6,10,0,Chinese,2
1,6,10,0,Russians,1
1,6,10,0,Italians,2
1,6,10,1,Germans,3
1,6,10,1,Chinese,2
1,6,10,1,Russians,1
1,6,10,1,Italians,2
1,6,10,2,Germans,2
1,6,10,2,Chinese,2
1,6,10,2,Russians,1
1,6,10,2,Italians,2
1,6,10,3,Germans,1
1,6,10,3,Chinese,2
1,6,10,3,Russians,2
1,6,10,3,Italians,2
1,6,10,4,Germans,1
1,6,10,4,Chinese,1
1,6,10,4,Russians,3
1,6,10,4,Italians,3
1,7,1,0,Germans,1
1,7,1,0,Chinese,1
1,7,1,0,Russians,1
1,7,1,0,Italians,2
1,7,1,1,Germans,2
1,7,1,1,Chinese,2
1,7,1,1,Russians,1
1,7,1,1,Italians,2
1,7,1,2,Germans,2
1,7,1,2,Chinese,2
1,7,1,2,Russians,0
1,7,1,2,Italians,3
1,7,1,3,Germans,1
1,7,1,3,Chinese,3
1,7,1,3,Russians,0
1,7,1,3,Italians,3
1,7,1,4,Germans,2
1,7,1,4,Chinese,1
1,7,1,4,Russians,0
1,7,1,4,Italians,2
1,7,2,0,Germans,3
1,7,2,0,Chinese,3
1,7,2,0,Russians,1
1,7,2,0,Italians,2
1,7,2,1,Germans,3
1,7,2,1,Chinese,3
1,7,2,1,Russians,1
1,7,2,1,Italians,2
1,7,2,2,Germans,2
1,7,2,2,Chinese,2
1,7,2,2,Russians,0
1,7,2,2,Italians,3
1,7,2,3,Germans,3
1,7,2,3,Chinese,3
1,7,2,3,Russians,0
1,7,2,3,Italians,1
1,7,2,4,Germans,2
1,7,2,4,Chinese,1
1,7,2,4,Russians,0
1,7,2,4,Italians,4
1,7,3,0,Germans,3
1,7,3,0,Chinese,3
1,7,3,0,Russians,1
1,7,3,0,Italians,2
1,7,3,1,Germans,1
1,7,3,1,Chinese,3
1,7,3,1,Russians,1
1,7,3,1,Italians,2
1,7,3,2,Germans,1
1,7,3,2,Chinese,3
1,7,3,2,Russians,1
1,7,3,2,Italians,1
1,7,3,3,Germans,1
1,7,3,3,Chinese,4
1,7,3,3,Russians,1
1,7,3,3,Italians,1
1,7,3,4,Germans,1
1,7,3,4,Chinese,2
1,7,3,4,Russians,2
1,7,3,4,Italians,2
1,7,4,0,Germans,1
1,7,4,0,Chinese,1
1,7,4,0,Russians,1
1,7,4,0,Italians,3
1,7,4,1,Germans,2
1,7,4,1,Chinese,2
1,7,4,1,Russians,1
1,7,4,1,Italians,3
1,7,4,2,Germans,3
1,7,4,2,Chinese,1
1,7,4,2,Russians,1
1,7,4,2,Italians,2
1,7,4,3,Germans,0
1,7,4,3,Chinese,0
1,7,4,3,Russians,1
1,7,4,3,Italians,3
1,7,4,4,Germans,2
1,7,4,4,Chinese,1
1,7,4,4,Russians,1
1,7,4,4,Italians,3
1,7,5,0,Germans,1
1,7,5,0,Chinese,2
1,7,5,0,Russians,2
1,7,5,0,Italians,2
1,7,5,1,Germans,2
1,7,5,1,Chinese,3
1,7,5,1,Russians,1
1,7,5,1,Italians,2
1,7,5,2,Germans,3
1,7,5,2,Chinese,0
1,7,5,2,Russians,1
1,7,5,2,Italians,2
1,7,5,3,Germans,2
1,7,5,3,Chinese,1
1,7,5,3,Russians,3
1,7,5,3,Italians,3
1,7,5,4,Germans,2
1,7,5,4,Chinese,1
1,7,5,4,Russians,2
1,7,5,4,Italians,1
1,7,6,0,Germans,1
1,7,6,0,Chinese,1
1,7,6,0,Russians,2
1,7,6,0,Italians,3
1,7,6,1,Germans,1
1,7,6,1,Chinese,2
1,7,6,1,Russians,1
1,7,6,1,Italians,3
1,7,6,2,Germans,2
1,7,6,2,Chinese,1
1,7,6,2,Russians,1
1,7,6,2,Italians,2
1,7,6,3,Germans,1
1,7,6,3,Chinese,0
1,7,6,3,Russians,1
1,7,6,3,Italians,1
1,7,6,4,Germans,2
1,7,6,4,Chinese,1
1,7,6,4,Russians,1
1,7,6,4,Italians,3
1,7,7,0,Germans,2
1,7,7,0,Chinese,2
1,7,7,0,Russians,2
1,7,7,0,Italians,2
1,7,7,1,Germans,3
1,7,7,1,Chinese,2
1,7,7,1,Russians,1
1,7,7,1,Italians,3
1,7,7,2,Germans,3
1,7,7,2,Chinese,1
1,7,7,2,Russians,1
1,7,7,2,Italians,2
1,7,7,3,Germans,2
1,7,7,3,Chinese,1
1,7,7,3,Russians,1
1,7,7,3,Italians,3
1,7,7,4,Germans,2
1,7,7,4,Chinese,1
1,7,7,4,Russians,1
1,7,7,4,Italians,1
1,7,8,0,Germans,1
1,7,8,0,Chinese,2
1,7,8,0,Russians,2
1,7,8,0,Italians,2
1,7,8,1,Germans,2
1,7,8,1,Chinese,3
1,7,8,1,Russians,1
1,7,8,1,Italians,2
1,7,8,2,Germans,3
1,7,8,2,Chinese,0
1,7,8,2,Russians,1
1,7,8,2,Italians,2
1,7,8,3,Germans,2
1,7,8,3,Chinese,1
1,7,8,3,Russians,1
1,7,8,3,Italians,2
1,7,8,4,Germans,1
1,7,8,4,Chinese,1
1,7,8,4,Russians,2
1,7,8,4,Italians,2
1,8,1,0,Germans,2
1,8,1,0,Chinese,2
1,8,1,0,Russians,1
1,8,1,0,Italians,2
1,8,1,1,Germans,2
1,8,1,1,Chinese,1
1,8,1,1,Russians,1
1,8,1,1,Italians,2
1,8,1,2,Germans,2
1,8,1,2,Chinese,3
1,8,1,2,Russians,1
1,8,1,2,Italians,2
1,8,1,3,Germans,1
1,8,1,3,Chinese,2
1,8,1,3,Russians,1
1,8,1,3,Italians,2
1,8,1,4,Germans,1
1,8,1,4,Chinese,2
1,8,1,4,Russians,1
1,8,1,4,Italians,2
1,8,2,0,Germans,2
1,8,2,0,Chinese,2
1,8,2,0,Russians,1
1,8,2,0,Italians,2
1,8,2,1,Germans,2
1,8,2,1,Chinese,1
1,8,2,1,Russians,1
1,8,2,1,Italians,3
1,8,2,2,Germans,2
1,8,2,2,Chinese,0
1,8,2,2,Russians,0
1,8,2,2,Italians,3
1,8,2,3,Germans,2
1,8,2,3,Chinese,2
1,8,2,3,Russians,1
1,8,2,3,Italians,2
1,8,2,4,Germans,1
1,8,2,4,Chinese,1
1,8,2,4,Russians,1
1,8,2,4,Italians,2
1,8,3,0,Germans,2
1,8,3,0,Chinese,2
1,8,3,0,Russians,1
1,8,3,0,Italians,2
1,8,3,1,Germans,3
1,8,3,1,Chinese,1
1,8,3,1,Russians,1
1,8,3,1,Italians,1
1,8,3,2,Germans,1
1,8,3,2,Chinese,2
1,8,3,2,Russians,1
1,8,3,2,Italians,2
1,8,3,3,Germans,1
1,8,3,3,Chinese,2
1,8,3,3,Russians,1
1,8,3,3,Italians,2
1,8,3,4,Germans,2
1,8,3,4,Chinese,3
1,8,3,4,Russians,1
1,8,3,4,Italians,1
1,8,4,0,Germans,1
1,8,4,0,Chinese,2
1,8,4,0,Russians,1
1,8,4,0,Italians,2
1,8,4,1,Germans,3
1,8,4,1,Chinese,1
1,8,4,1,Russians,1
1,8,4,1,Italians,2
1,8,4,2,Germans,2
1,8,4,2,Chinese,2
1,8,4,2,Russians,1
1,8,4,2,Italians,3
1,8,4,3,Germans,1
1,8,4,3,Chinese,2
1,8,4,3,Russians,1
1,8,4,3,Italians,3
1,8,4,4,Germans,1
1,8,4,4,Chinese,2
1,8,4,4,Russians,1
1,8,4,4,Italians,2
1,8,5,0,Germans,1
1,8,5,0,Chinese,2
1,8,5,0,Russians,1
1,8,5,0,Italians,2
1,8,5,1,Germans,2
1,8,5,1,Chinese,1
1,8,5,1,Russians,1
1,8,5,1,Italians,3
1,8,5,2,Germans,2
1,8,5,2,Chinese,1
1,8,5,2,Russians,1
1,8,5,2,Italians,3
1,8,5,3,Germans,1
1,8,5,3,Chinese,1
1,8,5,3,Russians,0
1,8,5,3,Italians,3
1,8,5,4,Germans,1
1,8,5,4,Chinese,3
1,8,5,4,Russians,0
1,8,5,4,Italians,2
1,8,6,0,Germans,1
1,8,6,0,Chinese,2
1,8,6,0,Russians,1
1,8,6,0,Italians,2
1,8,6,1,Germans,2
1,8,6,1,Chinese,1
1,8,6,1,Russians,1
1,8,6,1,Italians,0
1,8,6,2,Germans,3
1,8,6,2,Chinese,3
1,8,6,2,Russians,1
1,8,6,2,Italians,2
1,8,6,3,Germans,2
1,8,6,3,Chinese,3
1,8,6,3,Russians,1
1,8,6,3,Italians,2
1,8,6,4,Germans,2
1,8,6,4,Chinese,2
1,8,6,4,Russians,1
1,8,6,4,Italians,3
1,8,7,0,Germans,1
1,8,7,0,Chinese,2
1,8,7,0,Russians,1
1,8,7,0,Italians,2
1,8,7,1,Germans,2
1,8,7,1,Chinese,1
1,8,7,1,Russians,1
1,8,7,1,Italians,3
1,8,7,2,Germans,2
1,8,7,2,Chinese,0
1,8,7,2,Russians,0
1,8,7,2,Italians,3
1,8,7,3,Germans,2
1,8,7,3,Chinese,1
1,8,7,3,Russians,0
1,8,7,3,Italians,3
1,8,7,4,Germans,1
1,8,7,4,Chinese,0
1,8,7,4,Russians,0
1,8,7,4,Italians,2
1,8,8,0,Germans,1
1,8,8,0,Chinese,2
1,8,8,0,Russians,1
1,8,8,0,Italians,2
1,8,8,1,Germans,3
1,8,8,1,Chinese,1
1,8,8,1,Russians,1
1,8,8,1,Italians,1
1,8,8,2,Germans,3
1,8,8,2,Chinese,2
1,8,8,2,Russians,0
1,8,8,2,Italians,2
1,8,8,3,Germans,2
1,8,8,3,Chinese,2
1,8,8,3,Russians,1
1,8,8,3,Italians,3
1,8,8,4,Germans,2
1,8,8,4,Chinese,1
1,8,8,4,Russians,1
1,8,8,4,Italians,2
1,9,1,0,Germans,2
1,9,1,0,Chinese,2
1,9,1,0,Russians,1
1,9,1,0,Italians,1
1,9,1,1,Germans,2
1,9,1,1,Chinese,2
1,9,1,1,Russians,1
1,9,1,1,Italians,2
1,9,1,2,Germans,3
1,9,1,2,Chinese,2
1,9,1,2,Russians,1
1,9,1,2,Italians,2
1,9,1,3,Germans,1
1,9,1,3,Chinese,2
1,9,1,3,Russians,1
1,9,1,3,Italians,2
1,9,1,4,Germans,2
1,9,1,4,Chinese,1
1,9,1,4,Russians,1
1,9,1,4,Italians,2
1,9,2,0,Germans,2
1,9,2,0,Chinese,2
1,9,2,0,Russians,1
1,9,2,0,Italians,1
1,9,2,1,Germans,3
1,9,2,1,Chinese,1
1,9,2,1,Russians,1
1,9,2,1,Italians,3
1,9,2,2,Germans,1
1,9,2,2,Chinese,2
1,9,2,2,Russians,1
1,9,2,2,Italians,1
1,9,2,3,Germans,2
1,9,2,3,Chinese,3
1,9,2,3,Russians,1
1,9,2,3,Italians,1
1,9,2,4,Germans,2
1,9,2,4,Chinese,3
1,9,2,4,Russians,1
1,9,2,4,Italians,1
1,9,3,0,Germans,1
1,9,3,0,Chinese,2
1,9,3,0,Russians,0
1,9,3,0,Italians,0
1,9,3,1,Germans,3
1,9,3,1,Chinese,3
1,9,3,1,Russians,0
1,9,3,1,Italians,2
1,9,3,2,Germans,3
1,9,3,2,Chinese,3
1,9,3,2,Russians,0
1,9,3,2,Italians,1
1,9,3,3,Germans,3
1,9,3,3,Chinese,3
1,9,3,3,Russians,0
1,9,3,3,Italians,1
1,9,3,4,Germans,2
1,9,3,4,Chinese,2
1,9,3,4,Russians,0
1,9,3,4,Italians,1
1,9,4,0,Germans,1
1,9,4,0,Chinese,2
1,9,4,0,Russians,1
1,9,4,0,Italians,1
1,9,4,1,Germans,2
1,9,4,1,Chinese,2
1,9,4,1,Russians,1
1,9,4,1,Italians,2
1,9,4,2,Germans,3
1,9,4,2,Chinese,1
1,9,4,2,Russians,1
1,9,4,2,Italians,1
1,9,4,3,Germans,4
1,9,4,3,Chinese,1
1,9,4,3,Russians,1
1,9,4,3,Italians,2
1,9,4,4,Germans,4
1,9,4,4,Chinese,1
1,9,4,4,Russians,1
1,9,4,4,Italians,2
1,9,5,0,Germans,1
1,9,5,0,Chinese,2
1,9,5,0,Russians,1
1,9,5,0,Italians,1
1,9,5,1,Germans,2
1,9,5,1,Chinese,2
1,9,5,1,Russians,1
1,9,5,1,Italians,3
1,9,5,2,Germans,1
1,9,5,2,Chinese,2
1,9,5,2,Russians,1
1,9,5,2,Italians,1
1,9,5,3,Germans,2
1,9,5,3,Chinese,2
1,9,5,3,Russians,1
1,9,5,3,Italians,1
1,9,5,4,Germans,2
